time	species	count	transcript	ribo_density
0.000000	__rnase	0.000000	0.000000	0.000000
0.000000	__rnase_site	0.000000	0.000000	0.000000
0.000000	phi1	1.000000	0.000000	0.000000
0.000000	proteinX_rbs	0.000000	0.000000	0.000000
0.000000	ribosome	10.000000	0.000000	0.000000
0.000000	rnapol	1.000000	0.000000	0.000000
3.928474	__rnase	0.000000	0.000000	0.000000
3.928474	__rnase_site	0.000000	0.000000	0.000000
3.928474	phi1	0.000000	0.000000	0.000000
3.928474	proteinX_rbs	0.000000	0.000000	0.000000
3.928474	ribosome	10.000000	0.000000	0.000000
3.928474	rnapol	0.000000	0.000000	0.000000
3.985659	__rnase	0.000000	0.000000	0.000000
3.985659	__rnase_site	0.000000	0.000000	0.000000
3.985659	phi1	0.000000	0.000000	0.000000
3.985659	proteinX_rbs	0.000000	0.000000	0.000000
3.985659	ribosome	10.000000	0.000000	0.000000
3.985659	rnapol	0.000000	0.000000	0.000000
4.008050	__rnase	0.000000	0.000000	0.000000
4.008050	__rnase_site	0.000000	0.000000	0.000000
4.008050	phi1	0.000000	0.000000	0.000000
4.008050	proteinX_rbs	0.000000	0.000000	0.000000
4.008050	ribosome	10.000000	0.000000	0.000000
4.008050	rnapol	0.000000	0.000000	0.000000
4.015322	__rnase	0.000000	0.000000	0.000000
4.015322	__rnase_site	0.000000	0.000000	0.000000
4.015322	phi1	0.000000	0.000000	0.000000
4.015322	proteinX_rbs	0.000000	0.000000	0.000000
4.015322	ribosome	10.000000	0.000000	0.000000
4.015322	rnapol	0.000000	0.000000	0.000000
5.038176	__rnase	0.000000	0.000000	0.000000
5.038176	__rnase_site	0.000000	0.000000	0.000000
5.038176	phi1	1.000000	0.000000	0.000000
5.038176	proteinX	0.000000	0.000000	0.000000
5.038176	proteinX_rbs	0.000000	0.000000	0.000000
5.038176	ribosome	10.000000	0.000000	0.000000
5.038176	rnapol	0.000000	0.000000	0.000000
6.006758	__rnase	0.000000	0.000000	0.000000
6.006758	__rnase_site	0.000000	0.000000	0.000000
6.006758	phi1	1.000000	0.000000	0.000000
6.006758	proteinX	0.000000	0.000000	0.000000
6.006758	proteinX_rbs	0.000000	0.000000	0.000000
6.006758	ribosome	10.000000	0.000000	0.000000
6.006758	rnapol	0.000000	0.000000	0.000000
7.068275	__rnase	0.000000	0.000000	0.000000
7.068275	__rnase_site	0.000000	0.000000	0.000000
7.068275	phi1	1.000000	0.000000	0.000000
7.068275	proteinX	0.000000	0.000000	0.000000
7.068275	proteinX_rbs	0.000000	0.000000	0.000000
7.068275	ribosome	10.000000	0.000000	0.000000
7.068275	rnapol	1.000000	0.000000	0.000000
8.004901	__rnase	0.000000	0.000000	0.000000
8.004901	__rnase_site	1.000000	0.000000	0.000000
8.004901	phi1	1.000000	0.000000	0.000000
8.004901	proteinX	0.000000	1.000000	0.000000
8.004901	proteinX_rbs	1.000000	0.000000	0.000000
8.004901	ribosome	10.000000	0.000000	0.000000
8.004901	rnapol	0.000000	0.000000	0.000000
8.999940	__rnase	0.000000	0.000000	0.000000
8.999940	__rnase_site	1.000000	0.000000	0.000000
8.999940	phi1	1.000000	0.000000	0.000000
8.999940	proteinX	0.000000	1.000000	0.000000
8.999940	proteinX_rbs	1.000000	0.000000	0.000000
8.999940	ribosome	10.000000	0.000000	0.000000
8.999940	rnapol	0.000000	0.000000	0.000000
10.002403	__rnase	0.000000	0.000000	0.000000
10.002403	__rnase_site	1.000000	0.000000	0.000000
10.002403	phi1	1.000000	0.000000	0.000000
10.002403	proteinX	0.000000	1.000000	1.000000
10.002403	proteinX_rbs	0.000000	0.000000	0.000000
10.002403	ribosome	9.000000	0.000000	0.000000
10.002403	rnapol	1.000000	0.000000	0.000000
11.011070	__rnase	0.000000	0.000000	0.000000
11.011070	__rnase_site	0.000000	0.000000	0.000000
11.011070	phi1	1.000000	0.000000	0.000000
11.011070	proteinX	0.000000	1.000000	1.000000
11.011070	proteinX_rbs	0.000000	0.000000	0.000000
11.011070	ribosome	9.000000	0.000000	0.000000
11.011070	rnapol	1.000000	0.000000	0.000000
12.010613	__rnase	0.000000	0.000000	0.000000
12.010613	__rnase_site	0.000000	0.000000	0.000000
12.010613	phi1	1.000000	0.000000	0.000000
12.010613	proteinX	1.000000	1.000000	0.000000
12.010613	proteinX_rbs	0.000000	0.000000	0.000000
12.010613	ribosome	10.000000	0.000000	0.000000
12.010613	rnapol	1.000000	0.000000	0.000000
12.999535	__rnase	0.000000	0.000000	0.000000
12.999535	__rnase_site	1.000000	0.000000	0.000000
12.999535	phi1	1.000000	0.000000	0.000000
12.999535	proteinX	1.000000	2.000000	0.500000
12.999535	proteinX_rbs	0.000000	0.000000	0.000000
12.999535	ribosome	9.000000	0.000000	0.000000
12.999535	rnapol	0.000000	0.000000	0.000000
14.000856	__rnase	0.000000	0.000000	0.000000
14.000856	__rnase_site	1.000000	0.000000	0.000000
14.000856	phi1	1.000000	0.000000	0.000000
14.000856	proteinX	1.000000	2.000000	0.500000
14.000856	proteinX_rbs	0.000000	0.000000	0.000000
14.000856	ribosome	9.000000	0.000000	0.000000
14.000856	rnapol	0.000000	0.000000	0.000000
15.025645	__rnase	0.000000	0.000000	0.000000
15.025645	__rnase_site	0.000000	0.000000	0.000000
15.025645	phi1	1.000000	0.000000	0.000000
15.025645	proteinX	1.000000	2.000000	0.500000
15.025645	proteinX_rbs	0.000000	0.000000	0.000000
15.025645	ribosome	9.000000	0.000000	0.000000
15.025645	rnapol	1.000000	0.000000	0.000000
16.005568	__rnase	0.000000	0.000000	0.000000
16.005568	__rnase_site	0.000000	0.000000	0.000000
16.005568	phi1	1.000000	0.000000	0.000000
16.005568	proteinX	2.000000	2.000000	0.000000
16.005568	proteinX_rbs	0.000000	0.000000	0.000000
16.005568	ribosome	10.000000	0.000000	0.000000
16.005568	rnapol	1.000000	0.000000	0.000000
17.005015	__rnase	0.000000	0.000000	0.000000
17.005015	__rnase_site	0.000000	0.000000	0.000000
17.005015	phi1	0.000000	0.000000	0.000000
17.005015	proteinX	2.000000	2.000000	0.000000
17.005015	proteinX_rbs	0.000000	0.000000	0.000000
17.005015	ribosome	10.000000	0.000000	0.000000
17.005015	rnapol	0.000000	0.000000	0.000000
18.005953	__rnase	0.000000	0.000000	0.000000
18.005953	__rnase_site	0.000000	0.000000	0.000000
18.005953	phi1	1.000000	0.000000	0.000000
18.005953	proteinX	2.000000	2.000000	0.000000
18.005953	proteinX_rbs	0.000000	0.000000	0.000000
18.005953	ribosome	10.000000	0.000000	0.000000
18.005953	rnapol	0.000000	0.000000	0.000000
19.018341	__rnase	0.000000	0.000000	0.000000
19.018341	__rnase_site	0.000000	0.000000	0.000000
19.018341	phi1	1.000000	0.000000	0.000000
19.018341	proteinX	2.000000	2.000000	0.000000
19.018341	proteinX_rbs	0.000000	0.000000	0.000000
19.018341	ribosome	10.000000	0.000000	0.000000
19.018341	rnapol	0.000000	0.000000	0.000000
20.028469	__rnase	0.000000	0.000000	0.000000
20.028469	__rnase_site	0.000000	0.000000	0.000000
20.028469	phi1	0.000000	0.000000	0.000000
20.028469	proteinX	2.000000	2.000000	0.000000
20.028469	proteinX_rbs	0.000000	0.000000	0.000000
20.028469	ribosome	10.000000	0.000000	0.000000
20.028469	rnapol	0.000000	0.000000	0.000000
21.010581	__rnase	0.000000	0.000000	0.000000
21.010581	__rnase_site	1.000000	0.000000	0.000000
21.010581	phi1	1.000000	0.000000	0.000000
21.010581	proteinX	2.000000	3.000000	0.000000
21.010581	proteinX_rbs	1.000000	0.000000	0.000000
21.010581	ribosome	10.000000	0.000000	0.000000
21.010581	rnapol	0.000000	0.000000	0.000000
22.001459	__rnase	0.000000	0.000000	0.000000
22.001459	__rnase_site	0.000000	0.000000	0.000000
22.001459	phi1	1.000000	0.000000	0.000000
22.001459	proteinX	2.000000	2.000000	0.000000
22.001459	proteinX_rbs	0.000000	0.000000	0.000000
22.001459	ribosome	10.000000	0.000000	0.000000
22.001459	rnapol	0.000000	0.000000	0.000000
23.003505	__rnase	0.000000	0.000000	0.000000
23.003505	__rnase_site	0.000000	0.000000	0.000000
23.003505	phi1	1.000000	0.000000	0.000000
23.003505	proteinX	2.000000	2.000000	0.000000
23.003505	proteinX_rbs	0.000000	0.000000	0.000000
23.003505	ribosome	10.000000	0.000000	0.000000
23.003505	rnapol	1.000000	0.000000	0.000000
24.007568	__rnase	0.000000	0.000000	0.000000
24.007568	__rnase_site	0.000000	0.000000	0.000000
24.007568	phi1	1.000000	0.000000	0.000000
24.007568	proteinX	2.000000	2.000000	0.000000
24.007568	proteinX_rbs	0.000000	0.000000	0.000000
24.007568	ribosome	10.000000	0.000000	0.000000
24.007568	rnapol	1.000000	0.000000	0.000000
25.000141	__rnase	0.000000	0.000000	0.000000
25.000141	__rnase_site	0.000000	0.000000	0.000000
25.000141	phi1	0.000000	0.000000	0.000000
25.000141	proteinX	2.000000	2.000000	0.000000
25.000141	proteinX_rbs	0.000000	0.000000	0.000000
25.000141	ribosome	10.000000	0.000000	0.000000
25.000141	rnapol	0.000000	0.000000	0.000000
26.019164	__rnase	0.000000	0.000000	0.000000
26.019164	__rnase_site	0.000000	0.000000	0.000000
26.019164	phi1	1.000000	0.000000	0.000000
26.019164	proteinX	2.000000	2.000000	0.000000
26.019164	proteinX_rbs	0.000000	0.000000	0.000000
26.019164	ribosome	10.000000	0.000000	0.000000
26.019164	rnapol	0.000000	0.000000	0.000000
27.006697	__rnase	0.000000	0.000000	0.000000
27.006697	__rnase_site	0.000000	0.000000	0.000000
27.006697	phi1	1.000000	0.000000	0.000000
27.006697	proteinX	2.000000	2.000000	0.000000
27.006697	proteinX_rbs	0.000000	0.000000	0.000000
27.006697	ribosome	10.000000	0.000000	0.000000
27.006697	rnapol	0.000000	0.000000	0.000000
28.003402	__rnase	0.000000	0.000000	0.000000
28.003402	__rnase_site	0.000000	0.000000	0.000000
28.003402	phi1	1.000000	0.000000	0.000000
28.003402	proteinX	2.000000	2.000000	0.000000
28.003402	proteinX_rbs	0.000000	0.000000	0.000000
28.003402	ribosome	10.000000	0.000000	0.000000
28.003402	rnapol	1.000000	0.000000	0.000000
29.005674	__rnase	0.000000	0.000000	0.000000
29.005674	__rnase_site	0.000000	0.000000	0.000000
29.005674	phi1	1.000000	0.000000	0.000000
29.005674	proteinX	2.000000	2.000000	0.000000
29.005674	proteinX_rbs	0.000000	0.000000	0.000000
29.005674	ribosome	10.000000	0.000000	0.000000
29.005674	rnapol	1.000000	0.000000	0.000000
30.001930	__rnase	0.000000	0.000000	0.000000
30.001930	__rnase_site	1.000000	0.000000	0.000000
30.001930	phi1	1.000000	0.000000	0.000000
30.001930	proteinX	2.000000	2.000000	0.000000
30.001930	proteinX_rbs	0.000000	0.000000	0.000000
30.001930	ribosome	10.000000	0.000000	0.000000
30.001930	rnapol	0.000000	0.000000	0.000000
31.001255	__rnase	0.000000	0.000000	0.000000
31.001255	__rnase_site	0.000000	0.000000	0.000000
31.001255	phi1	1.000000	0.000000	0.000000
31.001255	proteinX	2.000000	2.000000	0.000000
31.001255	proteinX_rbs	0.000000	0.000000	0.000000
31.001255	ribosome	10.000000	0.000000	0.000000
31.001255	rnapol	0.000000	0.000000	0.000000
31.999958	__rnase	0.000000	0.000000	0.000000
31.999958	__rnase_site	0.000000	0.000000	0.000000
31.999958	phi1	1.000000	0.000000	0.000000
31.999958	proteinX	2.000000	2.000000	0.000000
31.999958	proteinX_rbs	0.000000	0.000000	0.000000
31.999958	ribosome	10.000000	0.000000	0.000000
31.999958	rnapol	0.000000	0.000000	0.000000
33.002461	__rnase	0.000000	0.000000	0.000000
33.002461	__rnase_site	0.000000	0.000000	0.000000
33.002461	phi1	1.000000	0.000000	0.000000
33.002461	proteinX	2.000000	2.000000	0.000000
33.002461	proteinX_rbs	0.000000	0.000000	0.000000
33.002461	ribosome	10.000000	0.000000	0.000000
33.002461	rnapol	1.000000	0.000000	0.000000
34.003102	__rnase	0.000000	0.000000	0.000000
34.003102	__rnase_site	0.000000	0.000000	0.000000
34.003102	phi1	1.000000	0.000000	0.000000
34.003102	proteinX	2.000000	2.000000	0.000000
34.003102	proteinX_rbs	0.000000	0.000000	0.000000
34.003102	ribosome	10.000000	0.000000	0.000000
34.003102	rnapol	1.000000	0.000000	0.000000
35.002431	__rnase	0.000000	0.000000	0.000000
35.002431	__rnase_site	0.000000	0.000000	0.000000
35.002431	phi1	1.000000	0.000000	0.000000
35.002431	proteinX	2.000000	2.000000	0.000000
35.002431	proteinX_rbs	0.000000	0.000000	0.000000
35.002431	ribosome	10.000000	0.000000	0.000000
35.002431	rnapol	1.000000	0.000000	0.000000
36.007209	__rnase	0.000000	0.000000	0.000000
36.007209	__rnase_site	0.000000	0.000000	0.000000
36.007209	phi1	1.000000	0.000000	0.000000
36.007209	proteinX	2.000000	2.000000	0.000000
36.007209	proteinX_rbs	0.000000	0.000000	0.000000
36.007209	ribosome	10.000000	0.000000	0.000000
36.007209	rnapol	1.000000	0.000000	0.000000
37.008248	__rnase	0.000000	0.000000	0.000000
37.008248	__rnase_site	0.000000	0.000000	0.000000
37.008248	phi1	1.000000	0.000000	0.000000
37.008248	proteinX	2.000000	2.000000	0.000000
37.008248	proteinX_rbs	0.000000	0.000000	0.000000
37.008248	ribosome	10.000000	0.000000	0.000000
37.008248	rnapol	1.000000	0.000000	0.000000
38.004681	__rnase	0.000000	0.000000	0.000000
38.004681	__rnase_site	0.000000	0.000000	0.000000
38.004681	phi1	1.000000	0.000000	0.000000
38.004681	proteinX	2.000000	2.000000	0.000000
38.004681	proteinX_rbs	0.000000	0.000000	0.000000
38.004681	ribosome	10.000000	0.000000	0.000000
38.004681	rnapol	1.000000	0.000000	0.000000
39.001890	__rnase	0.000000	0.000000	0.000000
39.001890	__rnase_site	0.000000	0.000000	0.000000
39.001890	phi1	1.000000	0.000000	0.000000
